FCT = N.A
Loss Ratio = N.A
Reported value = 7 to 56

12:09:07       1.73 Bps   <==>   0.00 MBps
12:09:28      59.42 Bps   <==>   0.00 MBps
12:09:29  454480.65 Bps   <==>   3.64 MBps
12:09:30 2296406.57 Bps   <==>   18.37 MBps
12:09:31  812117.81 Bps   <==>   6.50 MBps
12:09:32  911654.27 Bps   <==>   7.29 MBps
12:09:34 1049535.15 Bps   <==>   8.40 MBps
12:09:35  972335.87 Bps   <==>   7.78 MBps
12:09:36  451269.33 Bps   <==>   3.61 MBps
12:09:37  450615.27 Bps   <==>   3.60 MBps
12:09:38  594663.99 Bps   <==>   4.76 MBps
12:09:39  708820.38 Bps   <==>   5.67 MBps
12:09:40  827735.43 Bps   <==>   6.62 MBps
12:09:41  896408.41 Bps   <==>   7.17 MBps
12:09:42 1029527.70 Bps   <==>   8.24 MBps
12:09:44 1126650.04 Bps   <==>   9.01 MBps
12:09:45  665931.35 Bps   <==>   5.33 MBps
12:09:46  778504.25 Bps   <==>   6.23 MBps
12:09:47  859188.90 Bps   <==>   6.87 MBps
12:09:48  975538.72 Bps   <==>   7.80 MBps
12:09:49 1091396.03 Bps   <==>   8.73 MBps
12:09:50 1246839.53 Bps   <==>   9.97 MBps
12:09:52 1174110.73 Bps   <==>   9.39 MBps
12:09:53  621190.00 Bps   <==>   4.97 MBps
12:09:54  350525.81 Bps   <==>   2.80 MBps
12:09:55  402060.46 Bps   <==>   3.22 MBps
12:09:57  347055.24 Bps   <==>   2.78 MBps
12:09:58  338638.74 Bps   <==>   2.71 MBps
12:10:00  319823.03 Bps   <==>   2.56 MBps
12:10:01  411199.71 Bps   <==>   3.29 MBps
12:10:02  322292.24 Bps   <==>   2.58 MBps
12:10:03  451148.65 Bps   <==>   3.61 MBps
12:10:04  582452.56 Bps   <==>   4.66 MBps
12:10:05  456252.17 Bps   <==>   3.65 MBps
12:10:07  412687.26 Bps   <==>   3.30 MBps
12:10:08  347224.76 Bps   <==>   2.78 MBps
12:10:09  410196.82 Bps   <==>   3.28 MBps
12:10:10  348286.81 Bps   <==>   2.79 MBps
12:10:11  448397.57 Bps   <==>   3.59 MBps
12:10:13  427872.29 Bps   <==>   3.42 MBps
12:10:14  409778.60 Bps   <==>   3.28 MBps
12:10:16  558615.08 Bps   <==>   4.47 MBps
12:10:17  640068.58 Bps   <==>   5.12 MBps
12:10:18  573376.89 Bps   <==>   4.59 MBps
12:10:19  523446.70 Bps   <==>   4.19 MBps
12:10:20  633307.28 Bps   <==>   5.07 MBps
12:10:22  482751.06 Bps   <==>   3.86 MBps
12:10:23  462882.81 Bps   <==>   3.70 MBps
12:10:24  382150.54 Bps   <==>   3.06 MBps
12:10:25  469562.33 Bps   <==>   3.76 MBps
12:10:26  591439.31 Bps   <==>   4.73 MBps
12:10:28  764084.85 Bps   <==>   6.11 MBps
12:10:29  648436.12 Bps   <==>   5.19 MBps
12:10:30  542409.04 Bps   <==>   4.34 MBps
12:10:31  644536.65 Bps   <==>   5.16 MBps
12:10:32  816757.21 Bps   <==>   6.53 MBps
12:10:33  849310.63 Bps   <==>   6.79 MBps
12:10:35 1001873.73 Bps   <==>   8.01 MBps
12:10:36 1083826.75 Bps   <==>   8.67 MBps
12:10:37  919347.38 Bps   <==>   7.35 MBps
12:10:38  708807.19 Bps   <==>   5.67 MBps
12:10:39  846834.54 Bps   <==>   6.77 MBps
12:10:40  788134.33 Bps   <==>   6.31 MBps
12:10:41  590104.20 Bps   <==>   4.72 MBps
12:10:42  466408.63 Bps   <==>   3.73 MBps
12:10:43  464247.20 Bps   <==>   3.71 MBps
12:10:44  586153.45 Bps   <==>   4.69 MBps
12:10:46  500000.00 Bps   <==>   4.00 MBps
12:10:47  463492.52 Bps   <==>   3.71 MBps
12:10:48  595389.02 Bps   <==>   4.76 MBps
12:10:49  760333.39 Bps   <==>   6.08 MBps
12:10:50  852564.09 Bps   <==>   6.82 MBps
12:10:52  918856.15 Bps   <==>   7.35 MBps
12:10:53 1037030.94 Bps   <==>   8.30 MBps
12:10:54 1176652.13 Bps   <==>   9.41 MBps
12:10:55 1270409.57 Bps   <==>   10.16 MBps
12:10:56  903984.23 Bps   <==>   7.23 MBps
12:10:57  378667.00 Bps   <==>   3.03 MBps
12:10:58  349648.12 Bps   <==>   2.80 MBps
12:11:00  453538.09 Bps   <==>   3.63 MBps
12:11:01  375750.78 Bps   <==>   3.01 MBps
12:11:02  406236.71 Bps   <==>   3.25 MBps
12:11:03  481188.55 Bps   <==>   3.85 MBps
12:11:05  374359.10 Bps   <==>   2.99 MBps
12:11:06  443471.52 Bps   <==>   3.55 MBps
12:11:07  380647.20 Bps   <==>   3.05 MBps
12:11:08  404595.92 Bps   <==>   3.24 MBps
12:11:09  412346.61 Bps   <==>   3.30 MBps
