FCT = 105.16 seconds
Loss Ratio = 0
Reported value = 6 to 55

11:52:46       4.94 Bps   <==>   0.00 MBps
11:52:47 1097453.90 Bps   <==>   8.78 MBps
11:52:48 1118309.29 Bps   <==>   8.95 MBps
11:52:49 1104905.32 Bps   <==>   8.84 MBps
11:52:50 1109914.48 Bps   <==>   8.88 MBps
11:52:51 1352287.88 Bps   <==>   10.82 MBps
11:52:52 1192963.95 Bps   <==>   9.54 MBps
11:52:53 1276460.39 Bps   <==>   10.21 MBps
11:52:54 1390771.75 Bps   <==>   11.13 MBps
11:52:55  993251.14 Bps   <==>   7.95 MBps
11:52:57 1499235.72 Bps   <==>   11.99 MBps
11:52:58 1307286.50 Bps   <==>   10.46 MBps
11:52:59 1258241.14 Bps   <==>   10.07 MBps
11:53:00 1297148.65 Bps   <==>   10.38 MBps
11:53:01 1463245.95 Bps   <==>   11.71 MBps
11:53:02 1386663.36 Bps   <==>   11.09 MBps
11:53:03 1389071.25 Bps   <==>   11.11 MBps
11:53:04 1677880.64 Bps   <==>   13.42 MBps
11:53:05  978657.71 Bps   <==>   7.83 MBps
11:53:06 1496041.91 Bps   <==>   11.97 MBps
11:53:07 1354975.99 Bps   <==>   10.84 MBps
11:53:09 1362694.13 Bps   <==>   10.90 MBps
11:53:10 1308567.25 Bps   <==>   10.47 MBps
11:53:11 1340173.77 Bps   <==>   10.72 MBps
11:53:12 1252838.51 Bps   <==>   10.02 MBps
11:53:13 1320379.56 Bps   <==>   10.56 MBps
11:53:14 1385028.37 Bps   <==>   11.08 MBps
11:53:15 1324838.65 Bps   <==>   10.60 MBps
11:53:16 1031515.57 Bps   <==>   8.25 MBps
11:53:17 1092755.67 Bps   <==>   8.74 MBps
11:53:19 1094000.63 Bps   <==>   8.75 MBps
11:53:20 1052047.17 Bps   <==>   8.42 MBps
11:53:21 1073975.81 Bps   <==>   8.59 MBps
11:53:22 1026124.88 Bps   <==>   8.21 MBps
11:53:23 1178533.89 Bps   <==>   9.43 MBps
11:53:24 1424096.48 Bps   <==>   11.39 MBps
11:53:25 1383630.59 Bps   <==>   11.07 MBps
11:53:26 1107415.38 Bps   <==>   8.86 MBps
11:53:27 1084069.09 Bps   <==>   8.67 MBps
11:53:28 1099836.19 Bps   <==>   8.80 MBps
11:53:29 1140380.97 Bps   <==>   9.12 MBps
11:53:30 1176780.11 Bps   <==>   9.41 MBps
11:53:32 1364229.35 Bps   <==>   10.91 MBps
11:53:33 1297264.55 Bps   <==>   10.38 MBps
11:53:34 1430205.59 Bps   <==>   11.44 MBps
11:53:35 1053208.39 Bps   <==>   8.43 MBps
11:53:36 1422221.61 Bps   <==>   11.38 MBps
11:53:37 1534881.74 Bps   <==>   12.28 MBps
11:53:38 1442977.29 Bps   <==>   11.54 MBps
11:53:39 1527588.37 Bps   <==>   12.22 MBps
11:53:40 1342106.36 Bps   <==>   10.74 MBps
11:53:41 1137925.94 Bps   <==>   9.10 MBps
11:53:42 1154591.23 Bps   <==>   9.24 MBps
11:53:43 1193223.96 Bps   <==>   9.55 MBps
11:53:45 1325640.64 Bps   <==>   10.61 MBps
11:53:46 1482500.55 Bps   <==>   11.86 MBps
11:53:47 1583793.98 Bps   <==>   12.67 MBps
11:53:48 1577669.20 Bps   <==>   12.62 MBps
11:53:49 1456574.68 Bps   <==>   11.65 MBps
11:53:50 1380721.34 Bps   <==>   11.05 MBps
11:53:51 1157922.74 Bps   <==>   9.26 MBps
11:53:52 1381211.28 Bps   <==>   11.05 MBps
11:53:53 1296730.42 Bps   <==>   10.37 MBps
11:53:54 1250032.93 Bps   <==>   10.00 MBps
11:53:56 1262820.06 Bps   <==>   10.10 MBps
11:53:57 1450419.62 Bps   <==>   11.60 MBps
11:53:58 1207007.15 Bps   <==>   9.66 MBps
11:53:59 1393621.88 Bps   <==>   11.15 MBps
11:54:00 1404194.33 Bps   <==>   11.23 MBps
11:54:01 1366956.18 Bps   <==>   10.94 MBps
11:54:02 1445081.33 Bps   <==>   11.56 MBps
11:54:03 1329045.65 Bps   <==>   10.63 MBps
11:54:04 1502687.12 Bps   <==>   12.02 MBps
11:54:05 1438144.77 Bps   <==>   11.51 MBps
11:54:06 1372008.19 Bps   <==>   10.98 MBps
11:54:07 1381413.66 Bps   <==>   11.05 MBps
11:54:08 1365287.71 Bps   <==>   10.92 MBps
11:54:09 1421198.38 Bps   <==>   11.37 MBps
11:54:10 1428867.23 Bps   <==>   11.43 MBps
11:54:11 1341462.78 Bps   <==>   10.73 MBps
11:54:12 1349737.14 Bps   <==>   10.80 MBps
11:54:13 1188953.51 Bps   <==>   9.51 MBps
11:54:15 1357645.60 Bps   <==>   10.86 MBps
11:54:16 1208803.94 Bps   <==>   9.67 MBps
11:54:17 1339383.76 Bps   <==>   10.72 MBps
11:54:18 1256315.14 Bps   <==>   10.05 MBps
11:54:19 1106160.95 Bps   <==>   8.85 MBps
11:54:20 1207156.48 Bps   <==>   9.66 MBps
11:54:21 1364169.11 Bps   <==>   10.91 MBps
11:54:22 1353194.08 Bps   <==>   10.83 MBps
11:54:23 1322651.73 Bps   <==>   10.58 MBps
11:54:25 1190911.98 Bps   <==>   9.53 MBps
11:54:26 1286721.94 Bps   <==>   10.29 MBps
11:54:27 1380794.87 Bps   <==>   11.05 MBps
11:54:28 1375504.72 Bps   <==>   11.00 MBps
11:54:29 1396237.96 Bps   <==>   11.17 MBps
11:54:30 1376425.35 Bps   <==>   11.01 MBps
11:54:31  529877.15 Bps   <==>   4.24 MBps
