FCT = 99.12 seconds
Loss Ratio = 0
Reported value = 6 to 55

12:03:18      29.06 Bps   <==>   0.00 MBps
12:03:19  859922.53 Bps   <==>   6.88 MBps
12:03:20 1124320.01 Bps   <==>   8.99 MBps
12:03:21 1418583.66 Bps   <==>   11.35 MBps
12:03:22 1088058.35 Bps   <==>   8.70 MBps
12:03:23 1324277.95 Bps   <==>   10.59 MBps
12:03:24 1248997.37 Bps   <==>   9.99 MBps
12:03:25 1116966.13 Bps   <==>   8.94 MBps
12:03:26 1305024.54 Bps   <==>   10.44 MBps
12:03:27 1201735.79 Bps   <==>   9.61 MBps
12:03:28 1395499.85 Bps   <==>   11.16 MBps
12:03:30 1255388.54 Bps   <==>   10.04 MBps
12:03:31 1330288.96 Bps   <==>   10.64 MBps
12:03:32 1388652.75 Bps   <==>   11.11 MBps
12:03:33 1375258.47 Bps   <==>   11.00 MBps
12:03:34 1283227.19 Bps   <==>   10.27 MBps
12:03:35 1287104.07 Bps   <==>   10.30 MBps
12:03:36 1287777.62 Bps   <==>   10.30 MBps
12:03:37 1398199.73 Bps   <==>   11.19 MBps
12:03:38 1190583.26 Bps   <==>   9.52 MBps
12:03:39 1328584.72 Bps   <==>   10.63 MBps
12:03:41 1477801.66 Bps   <==>   11.82 MBps
12:03:42 1392826.41 Bps   <==>   11.14 MBps
12:03:43 1471233.68 Bps   <==>   11.77 MBps
12:03:44 1533506.07 Bps   <==>   12.27 MBps
12:03:45 1427549.43 Bps   <==>   11.42 MBps
12:03:46 1469922.49 Bps   <==>   11.76 MBps
12:03:47 1343764.63 Bps   <==>   10.75 MBps
12:03:48 1475631.11 Bps   <==>   11.81 MBps
12:03:49 1549917.65 Bps   <==>   12.40 MBps
12:03:50 1539474.00 Bps   <==>   12.32 MBps
12:03:52 1505671.13 Bps   <==>   12.05 MBps
12:03:53 1391811.67 Bps   <==>   11.13 MBps
12:03:54 1524367.39 Bps   <==>   12.19 MBps
12:03:55 1551898.56 Bps   <==>   12.42 MBps
12:03:56 1315974.23 Bps   <==>   10.53 MBps
12:03:57 1435047.41 Bps   <==>   11.48 MBps
12:03:58 1363628.42 Bps   <==>   10.91 MBps
12:03:59 1312429.32 Bps   <==>   10.50 MBps
12:04:00 1409060.58 Bps   <==>   11.27 MBps
12:04:01 1410551.56 Bps   <==>   11.28 MBps
12:04:02 1464012.35 Bps   <==>   11.71 MBps
12:04:03 1395466.32 Bps   <==>   11.16 MBps
12:04:05 1273141.64 Bps   <==>   10.19 MBps
12:04:06 1098497.13 Bps   <==>   8.79 MBps
12:04:07 1319075.60 Bps   <==>   10.55 MBps
12:04:08 1369010.72 Bps   <==>   10.95 MBps
12:04:09 1318627.54 Bps   <==>   10.55 MBps
12:04:10 1452971.35 Bps   <==>   11.62 MBps
12:04:11 1497001.80 Bps   <==>   11.98 MBps
12:04:12 1381618.73 Bps   <==>   11.05 MBps
12:04:13 1385764.69 Bps   <==>   11.09 MBps
12:04:14 1418532.37 Bps   <==>   11.35 MBps
12:04:15 1418833.19 Bps   <==>   11.35 MBps
12:04:16 1378767.68 Bps   <==>   11.03 MBps
12:04:18 1461816.48 Bps   <==>   11.69 MBps
12:04:19 1284124.93 Bps   <==>   10.27 MBps
12:04:20 1372315.54 Bps   <==>   10.98 MBps
12:04:21 1478200.16 Bps   <==>   11.83 MBps
12:04:22 1433719.60 Bps   <==>   11.47 MBps
12:04:23 1326783.00 Bps   <==>   10.61 MBps
12:04:24 1230304.35 Bps   <==>   9.84 MBps
12:04:25 1501746.55 Bps   <==>   12.01 MBps
12:04:26 1546169.93 Bps   <==>   12.37 MBps
12:04:28 1576958.31 Bps   <==>   12.62 MBps
12:04:29 1315350.70 Bps   <==>   10.52 MBps
12:04:30 1352836.00 Bps   <==>   10.82 MBps
12:04:31 1483814.79 Bps   <==>   11.87 MBps
12:04:32 1316091.14 Bps   <==>   10.53 MBps
12:04:33 1455758.49 Bps   <==>   11.65 MBps
12:04:34 1398730.45 Bps   <==>   11.19 MBps
12:04:35 1454649.60 Bps   <==>   11.64 MBps
12:04:36 1312171.93 Bps   <==>   10.50 MBps
12:04:38 1252973.66 Bps   <==>   10.02 MBps
12:04:39 1295993.10 Bps   <==>   10.37 MBps
12:04:40 1427073.76 Bps   <==>   11.42 MBps
12:04:41 1539962.45 Bps   <==>   12.32 MBps
12:04:42 1516055.81 Bps   <==>   12.13 MBps
12:04:43 1407671.41 Bps   <==>   11.26 MBps
12:04:44 1435924.52 Bps   <==>   11.49 MBps
12:04:45 1423112.40 Bps   <==>   11.38 MBps
12:04:46 1277679.17 Bps   <==>   10.22 MBps
12:04:47 1437556.68 Bps   <==>   11.50 MBps
12:04:48 1348660.16 Bps   <==>   10.79 MBps
12:04:49 1514216.73 Bps   <==>   12.11 MBps
12:04:51 1489472.24 Bps   <==>   11.92 MBps
12:04:52 1473165.78 Bps   <==>   11.79 MBps
12:04:53 1347656.18 Bps   <==>   10.78 MBps
12:04:54 1443776.53 Bps   <==>   11.55 MBps
12:04:55 1357800.50 Bps   <==>   10.86 MBps
12:04:56 1459407.11 Bps   <==>   11.68 MBps
12:04:57  529795.17 Bps   <==>   4.24 MBps
