FCT = 125.89 seconds
Loss Ratio = 0
Reported value = 6 to 55

09:51:35       2.43 Bps   <==>   0.00 MBps
09:51:36  854647.90 Bps   <==>   6.84 MBps
09:51:37 1128547.16 Bps   <==>   9.03 MBps
09:51:38 1494816.33 Bps   <==>   11.96 MBps
09:51:40 1230310.96 Bps   <==>   9.84 MBps
09:51:41 1091027.08 Bps   <==>   8.73 MBps
09:51:42 1070494.14 Bps   <==>   8.56 MBps
09:51:43 1247945.86 Bps   <==>   9.98 MBps
09:51:44 1055523.92 Bps   <==>   8.44 MBps
09:51:45 1117072.11 Bps   <==>   8.94 MBps
09:51:46 1110030.58 Bps   <==>   8.88 MBps
09:51:47 1169003.41 Bps   <==>   9.35 MBps
09:51:49  989000.13 Bps   <==>   7.91 MBps
09:51:50 1339628.33 Bps   <==>   10.72 MBps
09:51:51 1229155.81 Bps   <==>   9.83 MBps
09:51:52 1234868.52 Bps   <==>   9.88 MBps
09:51:53 1211652.88 Bps   <==>   9.69 MBps
09:51:54 1325831.45 Bps   <==>   10.61 MBps
09:51:55 1402269.68 Bps   <==>   11.22 MBps
09:51:57 1169885.17 Bps   <==>   9.36 MBps
09:51:58 1050099.54 Bps   <==>   8.40 MBps
09:51:59 1391782.13 Bps   <==>   11.13 MBps
09:52:00 1189866.38 Bps   <==>   9.52 MBps
09:52:01 1193189.65 Bps   <==>   9.55 MBps
09:52:02 1148158.02 Bps   <==>   9.19 MBps
09:52:03 1267632.35 Bps   <==>   10.14 MBps
09:52:04 1244803.19 Bps   <==>   9.96 MBps
09:52:05 1111469.05 Bps   <==>   8.89 MBps
09:52:06  907973.82 Bps   <==>   7.26 MBps
09:52:07  867997.98 Bps   <==>   6.94 MBps
09:52:09  895528.71 Bps   <==>   7.16 MBps
09:52:10  964642.53 Bps   <==>   7.72 MBps
09:52:11 1176454.84 Bps   <==>   9.41 MBps
09:52:12  942772.62 Bps   <==>   7.54 MBps
09:52:13  914508.31 Bps   <==>   7.32 MBps
09:52:14 1031299.94 Bps   <==>   8.25 MBps
09:52:15 1176705.34 Bps   <==>   9.41 MBps
09:52:16 1155554.49 Bps   <==>   9.24 MBps
09:52:18 1217722.84 Bps   <==>   9.74 MBps
09:52:19 1190503.49 Bps   <==>   9.52 MBps
09:52:20 1349382.53 Bps   <==>   10.80 MBps
09:52:21 1419497.61 Bps   <==>   11.36 MBps
09:52:22  916348.12 Bps   <==>   7.33 MBps
09:52:23  888456.38 Bps   <==>   7.11 MBps
09:52:24  963844.96 Bps   <==>   7.71 MBps
09:52:25 1207212.01 Bps   <==>   9.66 MBps
09:52:26 1043723.39 Bps   <==>   8.35 MBps
09:52:27 1135028.33 Bps   <==>   9.08 MBps
09:52:28 1328827.88 Bps   <==>   10.63 MBps
09:52:30  962369.14 Bps   <==>   7.70 MBps
09:52:31  897065.29 Bps   <==>   7.18 MBps
09:52:32 1012369.11 Bps   <==>   8.10 MBps
09:52:33  819003.25 Bps   <==>   6.55 MBps
09:52:34 1134233.43 Bps   <==>   9.07 MBps
09:52:35  956509.06 Bps   <==>   7.65 MBps
09:52:36  833239.69 Bps   <==>   6.67 MBps
09:52:37  919715.41 Bps   <==>   7.36 MBps
