FCT = 124.6 seconds
Loss Ratio = 0
Reported value = 6 to 55

10:42:52       3.84 Bps   <==>   0.00 MBps
10:42:53  246188.30 Bps   <==>   1.97 MBps
10:42:54  916246.06 Bps   <==>   7.33 MBps
10:42:55 1351919.42 Bps   <==>   10.82 MBps
10:42:56 1226032.23 Bps   <==>   9.81 MBps
10:42:57  914065.92 Bps   <==>   7.31 MBps
10:42:58 1257293.68 Bps   <==>   10.06 MBps
10:42:59 1166336.25 Bps   <==>   9.33 MBps
10:43:01  915411.96 Bps   <==>   7.32 MBps
10:43:02 1247832.59 Bps   <==>   9.98 MBps
10:43:03  921055.25 Bps   <==>   7.37 MBps
10:43:04 1123564.00 Bps   <==>   8.99 MBps
10:43:05 1064020.95 Bps   <==>   8.51 MBps
10:43:06 1197818.12 Bps   <==>   9.58 MBps
10:43:07 1055102.39 Bps   <==>   8.44 MBps
10:43:08 1232559.78 Bps   <==>   9.86 MBps
10:43:09 1084468.52 Bps   <==>   8.68 MBps
10:43:11 1175648.63 Bps   <==>   9.41 MBps
10:43:12 1141142.85 Bps   <==>   9.13 MBps
10:43:13 1334583.54 Bps   <==>   10.68 MBps
10:43:14 1332072.81 Bps   <==>   10.66 MBps
10:43:15 1190995.40 Bps   <==>   9.53 MBps
10:43:16 1274320.08 Bps   <==>   10.19 MBps
10:43:17 1269373.49 Bps   <==>   10.15 MBps
10:43:18 1252860.53 Bps   <==>   10.02 MBps
10:43:20  904941.22 Bps   <==>   7.24 MBps
10:43:21 1254833.36 Bps   <==>   10.04 MBps
10:43:22 1307385.90 Bps   <==>   10.46 MBps
10:43:23 1038051.39 Bps   <==>   8.30 MBps
10:43:24 1285538.62 Bps   <==>   10.28 MBps
10:43:25 1387404.23 Bps   <==>   11.10 MBps
10:43:26  898733.60 Bps   <==>   7.19 MBps
10:43:28 1053142.47 Bps   <==>   8.43 MBps
10:43:29  860214.38 Bps   <==>   6.88 MBps
10:43:30 1116504.89 Bps   <==>   8.93 MBps
10:43:31  834312.41 Bps   <==>   6.67 MBps
10:43:32  943513.22 Bps   <==>   7.55 MBps
10:43:33  939329.16 Bps   <==>   7.51 MBps
10:43:34 1239183.55 Bps   <==>   9.91 MBps
10:43:35 1337179.44 Bps   <==>   10.70 MBps
10:43:36 1086903.86 Bps   <==>   8.70 MBps
10:43:38 1017521.83 Bps   <==>   8.14 MBps
10:43:39 1171846.03 Bps   <==>   9.37 MBps
10:43:40  889053.79 Bps   <==>   7.11 MBps
10:43:41  716818.98 Bps   <==>   5.73 MBps
10:43:42  779662.00 Bps   <==>   6.24 MBps
10:43:43  986318.05 Bps   <==>   7.89 MBps
10:43:45 1254588.60 Bps   <==>   10.04 MBps
10:43:46 1102053.54 Bps   <==>   8.82 MBps
10:43:47 1021954.28 Bps   <==>   8.18 MBps
10:43:48 1125430.21 Bps   <==>   9.00 MBps
10:43:49  861702.90 Bps   <==>   6.89 MBps
10:43:50 1115045.74 Bps   <==>   8.92 MBps
10:43:51 1193614.38 Bps   <==>   9.55 MBps
10:43:52 1300930.85 Bps   <==>   10.41 MBps
10:43:53 1416114.45 Bps   <==>   11.33 MBps
10:43:54 1068267.52 Bps   <==>   8.55 MBps
10:43:55 1095802.45 Bps   <==>   8.77 MBps
10:43:57 1093420.18 Bps   <==>   8.75 MBps
10:43:58  917827.22 Bps   <==>   7.34 MBps
10:43:59 1120342.18 Bps   <==>   8.96 MBps
10:44:00 1082828.67 Bps   <==>   8.66 MBps
10:44:01 1175681.28 Bps   <==>   9.41 MBps
10:44:02 1129870.59 Bps   <==>   9.04 MBps
10:44:03 1252499.65 Bps   <==>   10.02 MBps
10:44:04 1333286.75 Bps   <==>   10.67 MBps
10:44:05  936435.38 Bps   <==>   7.49 MBps
10:44:06 1133848.33 Bps   <==>   9.07 MBps
10:44:07 1279385.44 Bps   <==>   10.24 MBps
10:44:09 1031422.98 Bps   <==>   8.25 MBps
10:44:10 1397316.19 Bps   <==>   11.18 MBps
10:44:11 1099713.82 Bps   <==>   8.80 MBps
10:44:12 1310809.40 Bps   <==>   10.49 MBps
10:44:13 1223271.60 Bps   <==>   9.79 MBps
10:44:14 1215238.61 Bps   <==>   9.72 MBps
10:44:15 1196755.87 Bps   <==>   9.57 MBps
10:44:16 1321249.87 Bps   <==>   10.57 MBps
10:44:18 1289340.32 Bps   <==>   10.31 MBps
10:44:19 1367744.23 Bps   <==>   10.94 MBps
10:44:20 1192496.63 Bps   <==>   9.54 MBps
10:44:21 1086942.67 Bps   <==>   8.70 MBps
10:44:22 1087061.74 Bps   <==>   8.70 MBps
10:44:23 1244143.14 Bps   <==>   9.95 MBps
10:44:24 1250888.06 Bps   <==>   10.01 MBps
10:44:25  950802.39 Bps   <==>   7.61 MBps
10:44:27 1389556.66 Bps   <==>   11.12 MBps
10:44:28  990577.72 Bps   <==>   7.92 MBps
10:44:29 1092001.62 Bps   <==>   8.74 MBps
10:44:30 1179802.49 Bps   <==>   9.44 MBps
10:44:31 1170611.22 Bps   <==>   9.36 MBps
10:44:32  946672.65 Bps   <==>   7.57 MBps
10:44:33 1137220.90 Bps   <==>   9.10 MBps
10:44:34 1039164.84 Bps   <==>   8.31 MBps
10:44:35 1086797.92 Bps   <==>   8.69 MBps
10:44:37 1173199.67 Bps   <==>   9.39 MBps
10:44:38  796745.90 Bps   <==>   6.37 MBps
10:44:39 1250017.72 Bps   <==>   10.00 MBps
10:44:40 1284977.51 Bps   <==>   10.28 MBps
10:44:41 1140428.67 Bps   <==>   9.12 MBps
10:44:42 1117748.52 Bps   <==>   8.94 MBps
10:44:43 1272453.16 Bps   <==>   10.18 MBps
10:44:44  859230.23 Bps   <==>   6.87 MBps
10:44:46 1041856.99 Bps   <==>   8.33 MBps
10:44:47  945255.91 Bps   <==>   7.56 MBps
10:44:48 1119115.08 Bps   <==>   8.95 MBps
10:44:49 1291230.00 Bps   <==>   10.33 MBps
10:44:50 1398487.92 Bps   <==>   11.19 MBps
10:44:51 1190130.35 Bps   <==>   9.52 MBps
10:44:52 1191387.31 Bps   <==>   9.53 MBps
10:44:53  925803.70 Bps   <==>   7.41 MBps
10:44:54 1250781.30 Bps   <==>   10.01 MBps
10:44:55 1241765.86 Bps   <==>   9.93 MBps
10:44:57  604006.18 Bps   <==>   4.83 MBps
