FCT = 136.606 seconds
Loss Ratio = 0
Reported value = 6 to 55

10:22:28       1.61 Bps   <==>   0.00 MBps
10:22:29  256065.23 Bps   <==>   2.05 MBps
10:22:30  485472.77 Bps   <==>   3.88 MBps
10:22:32  662072.32 Bps   <==>   5.30 MBps
10:22:33  814402.32 Bps   <==>   6.52 MBps
10:22:34  970649.68 Bps   <==>   7.77 MBps
10:22:35 1146410.34 Bps   <==>   9.17 MBps
10:22:36 1253099.14 Bps   <==>   10.02 MBps
10:22:37 1423372.57 Bps   <==>   11.39 MBps
10:22:38 1048514.99 Bps   <==>   8.39 MBps
10:22:40  935598.46 Bps   <==>   7.48 MBps
10:22:41 1176505.53 Bps   <==>   9.41 MBps
10:22:42  969201.20 Bps   <==>   7.75 MBps
10:22:43  963847.63 Bps   <==>   7.71 MBps
10:22:44  968633.39 Bps   <==>   7.75 MBps
10:22:45 1033588.13 Bps   <==>   8.27 MBps
10:22:47 1076773.51 Bps   <==>   8.61 MBps
10:22:48 1019322.80 Bps   <==>   8.15 MBps
10:22:49 1113818.18 Bps   <==>   8.91 MBps
10:22:50  884706.42 Bps   <==>   7.08 MBps
10:22:51  960727.00 Bps   <==>   7.69 MBps
10:22:52 1108229.94 Bps   <==>   8.87 MBps
10:22:53  927188.29 Bps   <==>   7.42 MBps
10:22:54  934440.55 Bps   <==>   7.48 MBps
10:22:55 1072399.62 Bps   <==>   8.58 MBps
10:22:57  975876.85 Bps   <==>   7.81 MBps
10:22:58 1172995.76 Bps   <==>   9.38 MBps
10:22:59  962647.23 Bps   <==>   7.70 MBps
10:23:00 1080417.11 Bps   <==>   8.64 MBps
10:23:01 1266652.24 Bps   <==>   10.13 MBps
10:23:02 1128936.05 Bps   <==>   9.03 MBps
10:23:03 1067700.81 Bps   <==>   8.54 MBps
10:23:04  940723.70 Bps   <==>   7.53 MBps
10:23:06 1006964.61 Bps   <==>   8.06 MBps
10:23:07 1124029.60 Bps   <==>   8.99 MBps
10:23:08 1086364.56 Bps   <==>   8.69 MBps
10:23:09 1135955.25 Bps   <==>   9.09 MBps
10:23:10 1043202.77 Bps   <==>   8.35 MBps
10:23:11 1199297.32 Bps   <==>   9.59 MBps
10:23:13  779127.72 Bps   <==>   6.23 MBps
10:23:14 1067236.21 Bps   <==>   8.54 MBps
10:23:15 1227228.31 Bps   <==>   9.82 MBps
10:23:16  951135.56 Bps   <==>   7.61 MBps
10:23:17  963963.05 Bps   <==>   7.71 MBps
